timestamp,source,d_lat,yaw,curvature,confidence
1772591542.841664,FILTERED,0.30507490038871765,-0.13630661368370056,6.0531463532242924e-05,1.0
1772591542.8441463,RAW,0.3011193871498108,-0.142696350812912,-3.3062806323869154e-06,1.0
1772591542.874842,FILTERED,0.3005225360393524,-0.1414070725440979,-1.0322060916223563e-05,1.0
1772591542.9075868,FILTERED,0.2966248393058777,-0.14140735566616058,-1.0322060916223563e-05,1.0
1772591542.9406796,FILTERED,0.2928362190723419,-0.14140762388706207,-1.0322060916223563e-05,1.0
1772591542.9737442,FILTERED,0.28910309076309204,-0.14140790700912476,-1.0322060916223563e-05,1.0
1772591543.0067682,FILTERED,0.2854641079902649,-0.14140817523002625,-1.0322060916223563e-05,1.0
1772591543.0397604,FILTERED,0.2818624675273895,-0.14140842854976654,-1.0322060916223563e-05,1.0
1772591543.0228958,RAW,0.2940346896648407,-0.13918575644493103,-3.263973121647723e-05,1.0
1772591543.0727015,FILTERED,0.2849825322628021,-0.13955070078372955,-5.825087555422215e-06,1.0
1772591543.1055598,FILTERED,0.2815385162830353,-0.1395508348941803,-5.825087555422215e-06,1.0
1772591543.1385522,FILTERED,0.2781762182712555,-0.13955098390579224,-5.825087555422215e-06,1.0
1772591543.1715872,FILTERED,0.27490487694740295,-0.13955111801624298,-5.825087555422215e-06,1.0
1772591543.2045784,FILTERED,0.2717258930206299,-0.13955125212669373,-5.825087555422215e-06,1.0
1772591543.1927104,RAW,0.2256190925836563,-0.13136540353298187,0.0009506593341939151,1.0
1772591543.2375598,FILTERED,0.24186620116233826,-0.13293011486530304,0.0004867876705247909,1.0
1772591543.2706478,FILTERED,0.2390117049217224,-0.13291966915130615,0.0004867876705247909,1.0
1772591543.3036778,FILTERED,0.23620271682739258,-0.1329093873500824,0.0004867876705247909,1.0
1772591543.336688,FILTERED,0.23343795537948608,-0.13289925456047058,0.0004867876705247909,1.0
1772591543.369772,FILTERED,0.2307126671075821,-0.1328892707824707,0.0004867876705247909,1.0
1772591543.3731995,RAW,0.21899744868278503,-0.12779122591018677,-2.9987051675561816e-05,1.0
1772591543.4024973,FILTERED,0.22206614911556244,-0.12858955562114716,0.00026332857669331133,1.0
1772591543.435747,FILTERED,0.21946457028388977,-0.12858423590660095,0.00026332857669331133,1.0
1772591543.4687262,FILTERED,0.21683524549007416,-0.12857885658740997,0.00026332857669331133,1.0
1772591543.5017335,FILTERED,0.21416223049163818,-0.12857337296009064,0.00026332857669331133,1.0
1772591543.5350637,FILTERED,0.21152029931545258,-0.12856796383857727,0.00026332857669331133,1.0
1772591543.5677989,FILTERED,0.20885680615901947,-0.12856251001358032,0.00026332857669331133,1.0
1772591543.5831487,RAW,0.2040676325559616,-0.13066215813159943,0.0005949696060270071,1.0
1772591543.6007562,FILTERED,0.20610199868679047,-0.12855686247348785,0.00026332857669331133,1.0
1772591543.633643,FILTERED,0.20134077966213226,-0.13036280870437622,0.0004166462749708444,1.0
1772591543.6665473,FILTERED,0.1985064297914505,-0.12738892436027527,0.0004166462749708444,1.0
1772591543.6996205,FILTERED,0.19572396576404572,-0.12737981975078583,0.0004166462749708444,1.0
1772591543.732641,FILTERED,0.192949578166008,-0.12737074494361877,0.0004166462749708444,1.0
1772591543.7657566,FILTERED,0.1901453286409378,-0.12736158072948456,0.0004166462749708444,1.0
1772591543.772989,RAW,0.1788913458585739,-0.12082207947969437,0.0007467870018444955,1.0
