timestamp,lane_d_lat,lane_yaw,lane_curvature,lane_confidence,odom_linear_x,odom_angular_z,cmd_vel_linear_x,cmd_vel_angular_z
1770995826.090294,0.000000,0.000000,0.000000,1.000000,0.096344,0.000000,0.463003,0.000000
1770995826.190324,0.000000,0.000000,0.000000,1.000000,0.096354,0.000000,0.464002,0.000000
1770995826.290432,0.000000,0.000000,0.000000,1.000000,0.096354,0.000000,0.465003,0.000000
1770995826.390380,0.000000,0.000000,0.000000,1.000000,0.120345,0.000000,0.466002,0.000000
1770995826.490253,0.000000,0.000000,0.000000,1.000000,0.120345,0.000000,0.467004,0.000000
1770995826.590287,0.000000,0.000000,0.000000,1.000000,0.130815,0.000000,0.468003,0.000000
1770995826.690380,0.000000,0.000000,0.000000,1.000000,0.133855,0.000000,0.469003,0.000000
1770995826.790259,0.000000,0.000000,0.000000,1.000000,0.133855,0.000000,0.470004,0.000000
1770995826.890467,0.000000,0.000000,0.000000,1.000000,0.139014,0.000000,0.471003,0.000000
1770995826.990307,0.000000,0.000000,0.000000,1.000000,0.139014,0.000000,0.472003,0.000000
1770995827.090334,0.000000,0.000000,0.000000,1.000000,0.139014,0.000000,0.473003,0.000000
1770995827.190274,0.000000,0.000000,0.000000,1.000000,0.149555,0.000000,0.474003,0.000000
1770995827.290319,0.000000,0.000000,0.000000,1.000000,0.149555,0.000000,0.475002,0.000000
1770995827.390171,0.000000,0.000000,0.000000,1.000000,0.149555,0.000000,0.476002,0.000000
1770995827.490297,0.000000,0.000000,0.000000,1.000000,0.149555,0.000000,0.477003,0.000000
1770995827.590339,0.000000,0.000000,0.000000,1.000000,0.149555,0.000000,0.478003,0.000000
1770995827.690320,0.000000,0.000000,0.000000,1.000000,0.146711,0.000000,0.479002,0.000000
1770995827.790144,0.000000,0.000000,0.000000,1.000000,0.146711,0.000000,0.480003,0.000000
1770995827.890249,0.000000,0.000000,0.000000,1.000000,0.146214,0.000000,0.481003,0.000000
1770995827.990300,0.000000,0.000000,0.000000,1.000000,0.146173,0.000000,0.482003,0.000000
1770995828.090645,0.000000,0.000000,0.000000,1.000000,0.146198,0.000000,0.483004,0.000000
1770995828.190248,0.000000,0.000000,0.000000,1.000000,0.146198,0.000000,0.484003,0.000000
1770995828.290857,0.000000,0.000000,0.000000,1.000000,0.146184,0.000000,0.485004,0.000000
1770995828.390257,0.000000,0.000000,0.000000,1.000000,0.146184,0.000000,0.486002,0.000000
1770995828.490629,0.000000,0.000000,0.000000,1.000000,0.146184,0.000000,0.487004,0.000000
1770995828.590503,0.000000,0.000000,0.000000,1.000000,0.146184,0.000000,0.488003,0.000000
1770995828.690923,0.000000,0.000000,0.000000,1.000000,0.146236,0.000000,0.489003,0.000000
1770995828.790178,0.000000,0.000000,0.000000,1.000000,0.146236,0.000000,0.490003,0.000000
1770995828.891240,0.000000,0.000000,0.000000,1.000000,0.146153,0.000000,0.491005,0.000000
1770995828.990492,0.000000,0.000000,0.000000,1.000000,0.146153,0.000000,0.492003,0.000000
1770995829.090151,0.000000,0.000000,0.000000,1.000000,0.146112,0.000000,0.493002,0.000000
1770995829.191008,0.000000,0.000000,0.000000,1.000000,0.146094,0.000000,0.494008,0.000000
1770995829.290164,0.000000,0.000000,0.000000,1.000000,0.134684,0.030348,0.495002,0.000000
1770995829.390445,0.000000,-0.003035,0.000000,1.000000,0.141339,0.030624,0.496003,-0.001352
1770995829.490230,-0.000043,-0.006097,0.000000,1.000000,0.140714,0.000464,0.497003,-0.002727
1770995829.590894,-0.000129,-0.006143,0.000000,1.000000,0.142703,0.000006,0.498003,-0.002764
1770995829.690307,0.361648,-0.203403,-0.013228,1.000000,0.143531,0.000000,0.499002,-0.048224
1770995829.790439,0.358724,-0.203593,-0.013228,1.000000,0.143531,0.000000,0.500003,-0.048738
